timestamp [ms],T_set [deg C],T_boiler [deg C],T_brew_group [deg C],pwm_boiler [%],pwm_brew_group [%],pump_on
46541,95.00,21.58,21.98,100.00,100.00,False
47541,95.00,21.61,21.98,100.00,100.00,False
48541,95.00,21.58,21.95,100.00,100.00,False
49541,95.00,21.58,21.95,100.00,100.00,False
50541,95.00,21.58,21.98,100.00,100.00,False
51541,95.00,21.58,22.02,100.00,100.00,False
52541,95.00,21.58,22.06,100.00,100.00,False
53541,95.00,21.61,22.06,100.00,100.00,False
54541,95.00,21.58,22.09,100.00,100.00,False
55541,95.00,21.58,22.21,100.00,100.00,False
56541,95.00,21.61,22.21,100.00,100.00,False
57541,95.00,21.73,22.35,100.00,100.00,False
58541,95.00,21.84,22.43,100.00,100.00,False
59541,95.00,22.02,22.54,100.00,100.00,False
60541,95.00,22.28,22.65,100.00,100.00,False
61541,95.00,22.69,22.80,100.00,100.00,False
62541,95.00,23.17,22.98,100.00,100.00,False
63541,95.00,23.61,23.17,100.00,100.00,False
64541,95.00,24.05,23.28,100.00,100.00,False
65541,95.00,24.46,23.50,100.00,100.00,False
66541,95.00,24.90,23.68,100.00,100.00,False
67541,95.00,25.42,23.91,100.00,100.00,False
68541,95.00,25.90,24.09,100.00,100.00,False
69541,95.00,26.42,24.28,100.00,100.00,False
70541,95.00,26.94,24.53,100.00,100.00,False
71541,95.00,27.46,24.79,100.00,100.00,False
72541,95.00,27.94,25.01,100.00,100.00,False
73541,95.00,28.49,25.24,100.00,100.00,False
74541,95.00,29.05,25.46,100.00,100.00,False
75541,95.00,29.68,25.75,100.00,100.00,False
76541,95.00,30.34,26.01,100.00,100.00,False
77541,95.00,31.01,26.27,100.00,100.00,False
78541,95.00,31.71,26.53,100.00,100.00,False
79541,95.00,32.34,26.83,100.00,100.00,False
80541,95.00,32.97,27.05,100.00,100.00,False
81541,95.00,33.64,27.38,100.00,100.00,False
82541,95.00,34.31,27.64,100.00,100.00,False
83541,95.00,35.05,27.90,100.00,100.00,False
84541,95.00,35.72,28.23,100.00,100.00,False
85541,95.00,36.42,28.45,100.00,100.00,False
86541,95.00,37.05,28.79,100.00,100.00,False
87541,95.00,37.61,29.05,100.00,100.00,False
88541,95.00,38.24,29.34,100.00,100.00,False
89541,95.00,38.91,29.64,100.00,100.00,False
